Date,Count
2018-05-04,363
2018-05-05,363
2018-05-06,363
2018-05-07,363
2018-05-08,375
2018-05-09,375
2018-05-10,366
2018-05-11,370
2018-05-12,368
2018-05-13,368
2018-05-14,368
2018-05-15,368
2018-05-16,368
2018-05-16,368
2018-05-17,354
2018-05-18,356
2018-05-19,370
2018-05-20,370
2018-05-21,370
2018-05-22,351
2018-05-23,349
2018-05-24,349
2018-05-25,349
2018-05-26,349
2018-05-27,349
2018-05-28,349
2018-05-29,351
2018-05-30,287
2018-05-31,285
